Vehicle2Name	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	v_X	v_Y	v_Z	av_X	av_Y	av_Z	a_X	a_Y	a_Z	aa_X	aa_Y	aa_Z	thrust0	torque0	speed0	thrust1	torque1	speed1	thrust2	torque2	speed2	thrust3	torque3	speed3	ImageImageFile	ctes	Theta_e
SimpleFlight	2.553	7.2213	-2.60791	-30.5357	0.9916459999999999	0.023202700000000003	-0.035235199999999994	-0.121897	5.26956	-1.52867	0.570992	-0.31705300000000003	0.05982130000000001	-0.32581	0.576091	0.434856	-0.26759099999999997	-0.13633499999999998	-0.143473	0.661872	2.75786	-0.0366634	544.138	2.76193	-0.0367175	544.54	2.34455	0.0311688	501.71	2.35602	0.0313212	502.935	img_SimpleFlight__0_1627900386604603000.png	1.336033313218116	0.2674341908830873
SimpleFlight	2.631	7.63398	-2.72606	-30.4921	0.9904059999999999	0.010923299999999999	-0.031216300000000002	-0.134175	5.3106	-1.50378	0.544517	-0.350356	0.0513389	-0.295404	0.47556899999999996	0.198708	-0.422634	-0.693138	-0.0736447	0.138191	2.7063	-0.0359779	539.0269999999999	2.71116	-0.0360426	539.511	2.4152099999999996	0.032108199999999996	509.215	2.4217299999999997	0.032194799999999996	509.901	img_SimpleFlight__0_1627900386688140100.png	1.2211480409495739	0.2738368372234361
SimpleFlight	2.709	8.05028	-2.84298	-30.4633	0.9889319999999999	-0.00225375	-0.0266572	-0.14593599999999998	5.36466	-1.4985	0.13355999999999998	-0.354699	0.0567909	-0.298582	0.601641	-0.11255699999999999	-5.3015	-0.850231	0.058104499999999996	-0.26887	4.037730000000001	-0.05367809999999999	658.4019999999999	3.96264	-0.05268	652.252	3.9926699999999995	0.05307919999999999	654.719	3.9841699999999998	0.05296619999999999	654.021	img_SimpleFlight__0_1627900386771376500.png	1.1033225764746037	0.2773932218659796
SimpleFlight	2.784	8.45391	-2.9559	-30.463	0.987099	-0.0148203	-0.0226456	-0.157805	5.394430000000001	-1.5155	-0.07463689999999999	-0.35476399999999997	0.05267	-0.32668600000000003	0.25399	-0.328332	-1.21469	0.5545859999999999	-0.033489	-0.464441	3.4270400000000003	-0.0455595	606.572	3.4523300000000003	-0.0458958	608.807	3.57516	0.0475287	619.5419999999999	3.55	0.04719419999999999	617.3580000000001	img_SimpleFlight__0_1627900386854520100.png	0.9887066081571697	0.2759004806647841
SimpleFlight	2.862	8.87528	-3.07533	-30.4713	0.984626	-0.027338499999999998	-0.0188257	-0.171495	5.4076	-1.54932	-0.128814	-0.340401	0.0483298	-0.370687	0.09622489999999999	-0.540303	-0.41554399999999997	-0.592414	0.014460299999999999	-0.6436029999999999	2.55491	-0.0339654	523.734	2.58177	-0.034322399999999996	526.479	2.85188	0.037913300000000004	553.336	2.83773	0.03772519999999999	551.961	img_SimpleFlight__0_1627900386937922800.png	0.8703722027716195	0.2707455109313406
SimpleFlight	2.94	9.29725	-3.19804	-30.4825	0.9814790000000001	-0.03908180000000001	-0.015329599999999999	-0.186914	5.41015	-1.59998	-0.156127	-0.306179	0.0444589	-0.41917200000000004	-0.0285719	-0.757795	-0.340292	0.024352900000000004	0.00496789	-0.6451979999999999	2.40611	-0.0319872	508.254	2.42715	-0.0322668	510.471	2.76344	0.036737599999999995	544.688	2.7524	0.0365908	543.599	img_SimpleFlight__0_1627900387020824600.png	0.7545209579863211	0.2622377634023534
SimpleFlight	3.015	9.70283	-3.32036	-30.4951	0.977784	-0.049367400000000006	-0.0123088	-0.203348	5.4037	-1.6641599999999999	-0.182087	-0.280889	0.0426216	-0.462081	-0.143275	-0.95029	-0.349392	1.23623	-0.11385899999999999	-0.47775200000000007	2.41708	-0.032133	509.411	2.42619	-0.032254200000000004	510.371	2.75126	0.0365756	543.486	2.74969	0.0365548	543.331	img_SimpleFlight__0_1627900387104558700.png	0.6469009350126188	0.2510290830354784
SimpleFlight	3.093	10.1076	-3.45301	-30.5083	0.9732190000000001	-0.059628	-0.00965636	-0.221802	5.38875	-1.72843	-0.06392959999999999	-0.320168	0.0146965	-0.496084	-0.22127	-0.507011	4.89151	1.11553	0.30912199999999995	-0.383984	2.46654	-0.0327905	514.597	2.48489	-0.0330346	516.508	2.7202900000000003	0.036164	540.419	2.71082	0.036038	539.4780000000001	img_SimpleFlight__0_1627900387188671800.png	0.5485119087741142	0.2393975297236996
SimpleFlight	3.174	10.5595	-3.59487	-30.4981	0.9676290000000001	-0.0709071	-0.00709028	-0.24210700000000002	5.36751	-1.7805900000000001	0.28079699999999996	-0.292825	0.033663599999999995	-0.52982	-0.338516	-1.0007	2.08723	-0.532166	0.258996	-0.514257	1.1624700000000001	-0.0154541	353.276	1.1709399999999999	-0.0155666	354.56	1.3434	0.017859299999999998	379.774	1.33855	0.017794900000000002	379.088	img_SimpleFlight__0_1627900387272590000.png	0.605941289875949	0.38654713782145217
SimpleFlight	3.279	11.1201	-3.7923	-30.4879	0.959199	-0.0827451	-0.00324374	-0.271266	5.30288	-2.00225	-0.177013	-0.232675	0.0579168	-0.580154	-0.6878270000000001	-2.05015	-3.4409199999999998	-0.523637	0.0243209	-0.46135600000000004	3.37325	-0.0448445	601.793	3.3655699999999995	-0.0447424	601.1080000000001	3.6372400000000003	0.048354	624.898	3.64304	0.0484311	625.395	img_SimpleFlight__0_1627900387355129600.png	0.39198766377046174	0.34582956635299367
SimpleFlight	3.411	11.8146	-4.0709	-30.5196	0.9461629999999999	-0.0975818	0.00102083	-0.308631	5.2251	-2.1882200000000003	-0.07481130000000001	-0.243773	0.0425792	-0.620743	-0.47131000000000006	-0.8014399999999999	4.95195	0.628113	0.459574	-0.181729	2.80669	-0.037312599999999994	548.934	2.7864299999999997	-0.0370432	546.9490000000001	3.00049	0.0398889	567.569	3.0189999999999997	0.040135000000000004	569.318	img_SimpleFlight__0_1627900387520008600.png	0.1527950962213181	0.3102593010039364
SimpleFlight	3.489	12.2204	-4.24482	-30.5141	0.9373940000000001	-0.106018	0.00317893	-0.331728	5.1742	-2.2843400000000003	0.153531	-0.22197199999999997	0.047517000000000004	-0.625818	-0.8562620000000001	-1.69103	0.82683	-0.643559	0.119067	-0.00468524	1.7804400000000002	-0.0236695	437.207	1.8133299999999999	-0.024106700000000002	441.227	1.8585	0.0247072	446.68800000000005	1.82708	0.0242894	442.89599999999996	img_SimpleFlight__0_1627900387600940000.png	0.021498883746086998	0.2911066738586804
SimpleFlight	3.567	12.6212	-4.42859	-30.5013	0.92822	-0.112614	0.00499576	-0.354544	5.0977	-2.4321099999999998	0.15843	-0.171757	0.053919100000000005	-0.615737	-1.0830799999999998	-2.0346599999999997	-0.40639000000000003	0.62765	0.0911559	0.207006	2.5021299999999997	-0.0332638	518.297	2.51491	-0.0334336	519.618	2.47686	0.0329277	515.672	2.4645200000000003	0.0327637	514.386	img_SimpleFlight__0_1627900387683681100.png	0.09906008972633279	0.261698420796725
SimpleFlight	3.645	13.0146	-4.62628	-30.4984	0.9191799999999999	-0.114799	0.00638455	-0.376682	4.980519999999999	-2.65465	-0.168124	-0.0957596	0.0806539	-0.592659	-1.70818	-3.16783	-5.718319999999999	0.80505	-0.3509	0.414285	3.3334900000000003	-0.0443159	598.236	3.4017	-0.0452227	604.325	3.2938400000000003	0.0437888	594.6669999999999	3.16685	0.042100599999999995	583.092	img_SimpleFlight__0_1627900387767030500.png	0.20422829659995903	0.21715543739132567
